 11060| 35.589309| 55.845656| 5.16| 2037.5|B|Per
 11072| 35.635087|-23.816315| 5.19|   71.5|M|For
 11095| 35.718642|-73.645821| 5.99|  316.5|A|Hyi
 11220| 36.103725| 50.006633| 5.19|  374.7|K|And
 11249| 36.204353| 10.610598| 5.48|  603.7|B|Ari
 11258| 36.224977|-60.311629| 5.36|  159.8|A|Hor
 11313| 36.405837| 50.278666| 4.73|  343.2|K|And
 11345| 36.487551|-12.290452| 4.88|  525.8|G|Cet
 11407| 36.746271|-47.703827| 4.24|  525.8|B|Eri
 11432| 36.865784| 31.801349| 5.55|  286.0|B|Tri
 11477| 37.007042|-33.811052| 5.13|  152.3|G|For
 11484| 37.039658|  8.460089| 4.30|  176.2|A|Cet
 11486| 37.041626| 29.669538| 5.29|  155.2|K|Tri
 11548| 37.202244| 29.931584| 5.89|  100.3|A|Tri
 11569| 37.266617| 67.402384| 4.46|  141.7|A|Cas
 11757| 37.917170|-79.109250| 5.27|  291.1|A|Hyi
 11767| 37.946147| 89.264138| 1.97|  428.9|M|UMi
 11783| 38.021988|-15.244320| 4.74|   84.2|G|Cet
 11784| 38.025566| 36.147231| 5.15|  392.8|G|Tri
 11791| 38.039318| -1.034818| 5.36|  265.0|F|Cet
 11867| 38.279329|-34.649923| 5.91|  379.1|F|For
 11918| 38.461302|-28.232340| 4.96|  452.8|F|For
 12002| 38.677457| -7.859288| 5.74|  552.5|A|Cet
 12093| 38.968704|  5.593302| 4.87|  370.5|K|Cet
 12107| 39.000284| -7.831453| 5.53|  517.5|G|Cet
 12122| 39.038652|-30.044964| 5.74|  652.0|M|For
 12153| 39.157286| 12.447846| 5.64|  114.8|G|Ari
 12186| 39.244254|-34.577345| 5.78|   83.2|F|For
 12225| 39.351104|-52.543088| 5.30|  144.9|A|Hor
 12247| 39.424073| -3.396068| 5.65|  316.5|B|Cet
 12288| 39.577482|-30.193883| 5.84|  116.4|G|For
